"Story","Title","Result","Date","Stability","Duration (s)"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Realiza el primer ingreso al carrito","ERROR","2024-01-15T22:15:23.6849391-05:00[America/Bogota]","0.0","4.7"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega dos productos al carrito","ERROR","2024-01-15T22:15:28.6275334-05:00[America/Bogota]","0.0","2.05"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 3 productos al carrito","ERROR","2024-01-15T22:15:30.698151-05:00[America/Bogota]","0.0","2.9"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 4 productos al carrito","ERROR","2024-01-15T22:15:33.6255524-05:00[America/Bogota]","0.0","2.75"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 5 productos al carrito","ERROR","2024-01-15T22:15:36.4676264-05:00[America/Bogota]","0.0","2.03"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 6 productos al carrito","ERROR","2024-01-15T22:15:38.5288112-05:00[America/Bogota]","0.0","2.48"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Realiza el primer ingreso al carrito","ERROR","2024-01-25T10:54:05.6828335-05:00[America/Bogota]","0.0","6.49"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega dos productos al carrito","ERROR","2024-01-25T10:54:12.1959175-05:00[America/Bogota]","0.0","1.94"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 3 productos al carrito","ERROR","2024-01-25T10:54:14.1512733-05:00[America/Bogota]","0.0","1.79"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 4 productos al carrito","ERROR","2024-01-25T10:54:15.9787972-05:00[America/Bogota]","0.0","1.66"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 5 productos al carrito","ERROR","2024-01-25T10:54:17.6485997-05:00[America/Bogota]","0.0","1.93"
"Juan Camilo Desea Automatizar la pagina y realizar una compra","Juan Camilo agrega 6 productos al carrito","ERROR","2024-01-25T10:54:19.6093776-05:00[America/Bogota]","0.0","1.99"
